PROVIDERID,PROVIDERNAME,PROVIDERSERVICETYPE,STREETADDRESS,CITY,STATE,ZIP,COUNTY,COMMUNITY,POINT_X,POINT_Y,AWARDDATE,EXPIRATIONDATE,QRISRATINGLEVEL,TOTALLICENSEDCAPACITY,CCCAPCHILDCOUNT_D1,CCCAPCASECOUNT_D1,CCCAPFAEXPDATE_D1,CCCAPTOTALAUTH_D1,CCCAPFASTATUS_D1,CCCAPFAEXPDATE_D2,CCCAPTOTALAUTH_D2,CCCAPFASTATUS_D2,YEAR_MONTH
993,PAMELA DI RUBBO,Experienced Child Care Provider,252 Aspen LN,Pine,CO,80470,Park,Fairplay,-105.413291,39.490309, , ,Level 1,9, , , , , , , , ,20170930
1178,RITA THOMPSON,Large day care home,3125 Clayton ST,Denver,CO,80205,Denver,Denver,-104.955252,39.761221,11/29/2016 0:00,11/29/2019 0:00,Level 2,12,3,3,3/31/2019 0:00,7,1,3/31/2019 0:00,4,1,20170930
1226,KARA MILLER,Day care home,6676 Snowy Range DR,Colorado Springs,CO,80923,El Paso,Colorado Springs,-104.736936,38.92749, , ,Level 1,6, , , , , , , , ,20170930
1285,CATHY GILSDORF,Day Care Home 3,713 Parkview DR,Fort Collins,CO,80525,Larimer,Fort Collins,-105.064904,40.54544, , ,Level 1,6, , , , , , , , ,20170930
1306,DARLENE KATZER,Day Care Home 3,826 W 36th ST,Loveland,CO,80538,Larimer,Loveland,-105.089606,40.428223, , ,Level 1,6,4,2,12/31/2018 0:00,4,1,12/31/2018 0:00,4,1,20170930
1473,DENISE BAUMGARTNER,Day care home,13280 Mercury DR,Littleton,CO,80124,Douglas,Sedalia,-104.889226,39.554402, , ,Level 1,6, , , , , , , , ,20170930
1529,JENNIFER PIPER,Large day care home,119 E 23rd ST,Loveland,CO,80538,Larimer,Loveland,-105.075352,40.41602,2/28/2017 0:00,2/29/2020 0:00,Level 4,8,15,7,3/31/2020 0:00,16,1,3/31/2020 0:00,20,1,20170930
1727,YOLANDA GONZALES,Day care home,2517 9th Ave CT,Greeley,CO,80631,Weld,Greeley,-104.693829,40.396594,2/26/2016 0:00,2/26/2019 0:00,Level 2,6,5,3,3/31/2020 0:00,5,1,3/31/2020 0:00,5,1,20170930
1730,WANDA SPRAGUE,Experienced Child Care Provider,12700 E Espera WAY,Parker,CO,80134,Douglas,Parker,-104.780493,39.485816,7/27/2015 0:00,7/27/2018 0:00,Level 2,8, , , , , , , , ,20170930
1996,TRAILS WEST ADVENTURES,School age child care,5400 S Waco ST,Centennial,CO,80015,Arapahoe,South Aurora,-104.778859,39.619406, , , ,150, , ,12/31/2019 0:00,0,1,12/31/2019 0:00,2,1,20170930
2082,JULIE PEREZ,Day Care Home 3,4879 N Foxtail DR,Castle Rock,CO,80109,Douglas,Castle Rock,-104.897292,39.410291, , ,Level 1,6, , , , , , , , ,20170930
2096,SANDRA BYARLAY,Experienced Child Care Provider,1104 Sandra DR,Johnstown,CO,80534,Weld,Johnstown-Milliken,-104.91894,40.331378, , ,Level 1,9, , , , , , , , ,20170930
2164,BEVERLY BYLSMA,Day care home,13285 Rigel DR,Littleton,CO,80124,Douglas,Sedalia,-104.900097,39.554955, , ,Level 1,6, , , , , , , , ,20170930
2185,GOLDEN COMMUNITY CENTER,School age child care,1470 10th ST,Golden,CO,80401,Jefferson,Golden,-105.230019,39.755469, , , ,98,4,2,10/31/2019 0:00,4,1,10/31/2019 0:00,0,1,20170930
2186,MEEKER PRESCHOOL,Preschool,201 Ute RD,Meeker,CO,81641,Rio Blanco,Meeker,-107.905387,40.045433, , ,Level 1,35, , , , , , , , ,20170930
2448,CHILDRENS LEARNING CENTER,Day care center,445 W Berry AVE,Littleton,CO,80120,Arapahoe,Southwest Arapahoe,-104.993746,39.617368,4/30/2016 0:00,4/30/2019 0:00,Level 4,15, , , , , , , , ,20170930
2450,SUNRISE ENTERPRISE,School age child care,4050 S Genoa WAY,Aurora,CO,80013,Arapahoe,South Aurora,-104.75753,39.644079, , , ,100,2,2,6/30/2020 0:00,2,1,6/30/2020 0:00,2,1,20170930
2561,LAURA ROUSH,Experienced Child Care Provider,4300 Mill Creek CT,Fort Collins,CO,80526,Larimer,Fort Collins,-105.102891,40.527613, , ,Level 3,9, , , , , ,12/31/2018 0:00,0,1,20170930
2624,CORRIE GUIDRY,Day care home,1709 Chestnut ST,Canon City,CO,81212,Fremont,Cañon City,-105.20881,38.415928, , ,Level 1,6,4,3,8/9/2017 0:00,3,1,8/31/2018 0:00,7,1,20170930
2697,YVETTE BEESLEY,Day care home,953 S Macon ST,Aurora,CO,80012,Arapahoe,South Aurora,-104.856365,39.699022, , ,Level 1,6, , , , , , , , ,20170930
2712,MEADOW POINT BEFORE AND AFTER PROGRAM,School age child care,17901 E Grand AVE,Aurora,CO,80015,Arapahoe,South Aurora,-104.779394,39.626658, , , ,90,1,1,11/30/2017 0:00,6,1,11/30/2017 0:00,10,1,20170930
2799,INDIAN RIDGE ECS PROGRAMS,School age child care,16501 E Progress DR,Aurora,CO,80015,Arapahoe,South Aurora,-104.797077,39.621346, , , ,150, , ,9/30/2019 0:00,2,1,9/30/2019 0:00,1,1,20170930
2803,GRAND VALLEY CENTER FOR FAMILY LEARNING,Day care center,100 E 2nd ST,Parachute,CO,81635,Garfield,West Garfield,-108.053613,39.45269,5/31/2017 0:00,5/31/2020 0:00,Level 2,90, , , , , , , , ,20170930
2887,LAURA BALDWIN,Day care home,304 Elm ST,Lochbuie,CO,80603,Weld,Keenesburg-Hudson,-104.713657,40.004367, , ,Level 1,6, , ,3/31/2019 0:00,0,1,3/31/2019 0:00,2,1,20170930
2909,LYNNETTE SKAY,Day care home,2475 Maroon Bells AVE,Colorado Springs,CO,80918,El Paso,Colorado Springs,-104.782089,38.917879, , ,Level 1,6, , , , , , , , ,20170930
2991,KELLIE HIGGINS,Day care home,555 Birch CT,Rifle,CO,81650,Garfield,Rifle,-107.772421,39.534308,2/28/2017 0:00,2/28/2020 0:00,Level 2,6,4,2,5/31/2018 0:00,5,1,5/31/2018 0:00,5,1,20170930
3055,TAMMY BANDY,Experienced Child Care Provider,613 N 4th AVE,Sterling,CO,80751,Logan,Sterling,-103.217237,40.632031, , ,Level 1,9, , ,9/30/2017 0:00,0,1,9/30/2017 0:00,0,1,20170930
3064,TAMMY SAUNDERS,Experienced Child Care Provider,10012 Clay ST,Federal Heights,CO,80260,Adams,West Adams,-105.019682,39.879418,1/20/2016 0:00,1/20/2019 0:00,Level 2,9, , , , , , , , ,20170930
3077,CYNTHIA BELT,Day care home,6383 S Jackson Gap CT,Aurora,CO,80016,Arapahoe,East Arapahoe,-104.693796,39.600839, , ,Level 1,6, , , , , , , , ,20170930
3078,CAMP SNOWMASS,School age child care,120 Carriage WAY,Snowmass Village,CO,81615,Pitkin,Snowmass Village,-106.949795,39.208722, , , ,210, , , , , , , , ,20170930
3079,LISA VESS,Experienced Child Care Provider,1204 Crest CT,Windsor,CO,80550,Weld,Windsor,-104.905596,40.466228, , ,Level 1,9, , , , , , , , ,20170930
3089,BRIGHTON FUNSHINE CAMP,School age child care,1605 Longs Peak ST,Brighton,CO,80601,Adams,Brighton,-104.802203,39.993117, , , ,125, , , , , , , , ,20170930
3098,MISSION VIEJO EXTENDED CHILD SERVICES,School age child care,3855 S Alicia PKWY,Aurora,CO,80013,Arapahoe,South Aurora,-104.805023,39.646737, , , ,150,13,9,11/30/2018 0:00,17,1,11/30/2018 0:00,15,1,20170930
3188,JULIE CAREY,Experienced Child Care Provider,650 W Jefferson,Hayden,CO,81639,Routt,Hayden,-107.264436,40.494023,3/23/2016 0:00,3/23/2019 0:00,Level 2,9, , , , , , , , ,20170930
3192,LESLEY GORMAN,Experienced Child Care Provider,1021 Park West DR,Glenwood Springs,CO,81601,Garfield,Glenwood Springs,-107.320113,39.514516, , ,Level 1,9, , , , , , , , ,20170930
3194,LINDA JENKINS-ESPINOSA,Day care home,2760 Warrenton WAY,Colorado Springs,CO,80922,El Paso,Elsmere,-104.703983,38.870868,3/13/2017 0:00,3/13/2020 0:00,Level 2,6, , ,12/31/2017 0:00,0,1,12/31/2017 0:00,2,1,20170930
3281,MONTESSORI SCHOOL OF AURORA,Day care center,18585 E Smoky Hill,Aurora,CO,80015,Arapahoe,South Aurora,-104.769863,39.618473, , ,Level 1,164, , , , , , , , ,20170930
3291,LEE ANN WOOSLEY,Large day care home,4925 Wainwright DR,Colorado Springs,CO,80911,El Paso,Fountain,-104.732839,38.758963, , ,Level 1,12, , , , , , , , ,20170930
3299,CATHERINE GINN,Day care home,7295 S Houstoun Waring CIR,Littleton,CO,80120,Arapahoe,Southwest Arapahoe,-105.022019,39.585691,2/16/2016 0:00,2/16/2019 0:00,Level 2,6, , , , , ,8/31/2020 0:00,0,1,20170930
3352,JEWEL WILLIAMS,Day Care Home 3,1008 Cypress ST,Pueblo,CO,81004,Pueblo,Pueblo,-104.621711,38.248972, , ,Level 1,6,10,4,3/31/2019 0:00,10,1,3/31/2019 0:00,8,1,20170930
3491,CHARLOTTE BADGER,Day care home,11526 E Ellsworth PL,Aurora,CO,80010,Arapahoe,South Aurora,-104.855775,39.716356, , ,Level 1,6, , ,6/30/2019 0:00,0,1,6/30/2019 0:00,0,1,20170930
3615,TAMMY PAULSON,Day Care Home 3,1165 Glencoe,Denver,CO,80220,Denver,Denver,-104.925832,39.734045, , ,Level 1,6, , , , , , , , ,20170930
3803,THE COMPLETE CHILD DBA YOUNG SCHOLARS ACADEMY,Day care center,5815 Tutt Center PT,Colorado Springs,CO,80922,El Paso,Elsmere,-104.71768,38.906505, , ,Level 4,211,5,5,12/31/2017 0:00,5,1,12/31/2017 0:00,5,1,20170930
3819,FRIENDS OF DINOSAUR RIDGE SUMMER CAMP,School age child care,16831 W Alameda PKWY,Morrison,CO,80465,Jefferson,Northeast Jefferson,-105.190318,39.688723, , , ,24, , , , , , , , ,20170930
4117,LORETTA SAMPSON,Experienced Child Care Provider,10387 W Bellwood PL,Littleton,CO,80127,Jefferson,Northeast Jefferson,-105.114289,39.625092, , ,Level 2,9, , , , , , , , ,20170930
4225,HEATHER GODELL,Experienced Child Care Provider,331 Sun Mountain DR,Loveland,CO,80538,Larimer,Loveland,-105.073222,40.442548, , ,Level 2,9, , ,12/31/2018 0:00,0,1,12/31/2018 0:00,0,1,20170930
4249,DPS DISCOVERY LINK  @ STECK,School age child care,450 Albion ST,Denver,CO,80220,Denver,Denver,-104.938606,39.723755, , , ,100, , ,10/31/2017 0:00,1,1,10/31/2017 0:00,5,1,20170930
4308,ROSE STEIN PRESCHOOL,Preschool,80 S Teller ST,Lakewood,CO,80226,Jefferson,Northeast Jefferson,-105.075943,39.715442,3/20/2017 0:00,3/20/2020 0:00,Level 2,40, , , , , , , , ,20170930
4310,ST JAMES PRESCHOOL,Preschool,3601 W Belleview AVE,Littleton,CO,80123,Arapahoe,Southwest Arapahoe,-105.035988,39.624904,1/31/2017 0:00,1/31/2020 0:00,Level 5,203, , , , , ,8/31/2020 0:00,0,1,20170930
4321,POLARIS ELEMANTARY B.A.S.E. CAMP,School age child care,1905 Orchard PL,Fort Collins,CO,80521,Larimer,Fort Collins,-105.111315,40.577572, , , ,150, , ,12/31/2019 0:00,0,1,12/31/2019 0:00,0,1,20170930
4322,BAUDER ELEMENTARY BASE CAMP,School age child care,2345 Prospect,Fort Collins,CO,80526,Larimer,Fort Collins,-105.121757,40.566867, , , ,150, , ,12/31/2019 0:00,13,1,12/31/2019 0:00,25,1,20170930
4323,SAINT LUKES LUTHERAN CHILDRENS CENTER,Day care center,5265 N Union BLVD,Colorado Springs,CO,80918,El Paso,Colorado Springs,-104.773809,38.907871, , ,Level 4,104,17,14,12/31/2017 0:00,19,1,12/31/2017 0:00,18,1,20170930
4383,DPS DISCOVERY LINK @ KAISER,School age child care,4500 S Quitman ST,Denver,CO,80236,Denver,Denver,-105.040535,39.634183, , , ,100, , , , , , , , ,20170930
4384,LITTLE SPROUTS COMMUNITY PRESCHOOL,Preschool,210 NW 3rd ST,Cedaredge,CO,81413,Delta,Cedaredge,-107.926355,38.9021,11/30/2015 0:00,11/30/2018 0:00,Level 2,35, , ,6/30/2018 0:00,0,1,6/30/2018 0:00,0,1,20170930
4392,GIVING TREE MONTESSORI SCHOOL,Day care center,1110 W Moreno AVE,Colorado Springs,CO,80905,El Paso,Colorado Springs,-104.846423,38.826223, , ,Level 1,40, , , , , , , , ,20170930
4394,ROCKY MOUNTAIN CHILDRENS DISCOVERY,Day care center,710 S 8th ST,Canon city,CO,81212,Fremont,Cañon City,-105.234853,38.437211, , ,Level 4,97,52,32,10/31/2018 0:00,54,1,10/31/2018 0:00,49,1,20170930
4399,FAITH LUTHERAN PRESCHOOL,Day care center,303 Ridge RD,Castle Rock,CO,80104,Douglas,Castle Rock,-104.821231,39.366381,7/27/2015 0:00,7/27/2018 0:00,Level 2,68, , , , , , , , ,20170930
4400,CHERRY HILLS CHRISTIAN PRESCHOOL,Day care center,3900 E Grace BLVD,Highlands Ranch,CO,80126,Douglas,Sedalia,-104.946416,39.537157, , ,Level 3,284, , , , , , , , ,20170930
4402,PEABODY ELEM PEABODY PANTHER PRIDE,School age child care,3128 E Maplewood,Centennial,CO,80121,Arapahoe,Southwest Arapahoe,-104.951925,39.603066, , , ,75, , ,10/31/2018 0:00,1,1,8/31/2019 0:00,3,1,20170930
4403,BETHANY EARLY CHILDHOOD CENTER,Day care center,4500 E Hampden AVE,Cherry HIlls Village,CO,80113,Arapahoe,Southwest Arapahoe,-104.933482,39.652346,8/17/2016 0:00,8/17/2019 0:00,Level 2,94,5,4,11/30/2019 0:00,5,1,11/30/2019 0:00,4,1,20170930
4404,RENAISSANCE MONTESSORI ACADEMY,Day care center,16740 Keystone BLVD,Parker,CO,80134,Douglas,Parker,-104.795424,39.537923, , ,Level 1,100, , , , , , , , ,20170930
4422,JUDITH HALL,Large day care home,205 W 51st,Loveland,CO,80538,Larimer,Loveland,-105.079277,40.445565, , ,Level 1,12, , , , , , , , ,20170930
4563,ROSEMARIE APPLEGATE,Day care home,12386 W Texas DR,Lakewood,CO,80228,Jefferson,Northeast Jefferson,-105.134759,39.693347, , ,Level 1,6, , , , , , , , ,20170930
4584,CHRISTY BLUMENSHINE,Experienced Child Care Provider,3119 Appaloosa CT,Fort Collins,CO,80526,Larimer,Fort Collins,-105.092574,40.545255, , ,Level 1,9, , , , , , , , ,20170930
4629,CHRISTINE SHARP,Experienced Child Care Provider,513 Charrington CT,Fort Collins,CO,80525,Larimer,Fort Collins,-105.069219,40.502289, , ,Level 1,9, , , , , , , , ,20170930
4630,KRISTEN VAN LANINGHAM,Experienced Child Care Provider,7126 Woodrow DR,Fort Collins,CO,80525,Larimer,Loveland,-105.083103,40.486635, , ,Level 2,9, , , , , , , , ,20170930
4652,BRENDA KEY,Experienced Child Care Provider,3917 Ashcroft AVE,Castle Rock,CO,80104,Douglas,Parker,-104.822092,39.369819,2/15/2017 0:00,2/15/2020 0:00,Level 2,9, , ,6/30/2019 0:00,0,1,6/30/2019 0:00,0,1,20170930
4779,LA VETA PUBLIC SCHOOL PRESCHOOL,Preschool,126 Garland,LeVeta,CO,81055,Huerfano,La Veta,-105.008477,37.504635,6/30/2016 0:00,6/30/2019 0:00,Level 2,20, , , , , , , , ,20170930
4811,NANCY ARP,Day care home,346 Park ST,Lyons,CO,80540,Boulder,Longmont,-105.269529,40.221787, , ,Level 1,6, , , , , , , , ,20170930
4812,REBECCA ROUTH,Day care home,276 W 2nd,Akron,CO,80720,Washington,Akron,-103.215284,40.160083,5/9/2017 0:00,5/9/2020 0:00,Level 2,6, , , , , , , , ,20170930
4815,MARGARET BAKKA,Day Care Home 3,1133 Sawtooth Oak CT,Fort Collins,CO,80525,Larimer,Fort Collins,-105.056504,40.515915,12/21/2015 0:00,12/21/2018 0:00,Level 2,6, , , , , , , , ,20170930
4822,ARICKAREE PRESCHOOL,Day care center,12155 County Road NN,Anton,CO,80801,Washington,Cope,-103.028729,39.745321,6/9/2016 0:00,6/9/2019 0:00,Level 2,15, , , , , , , , ,20170930
4830,RASCALS TODDLER PROGRAM,Day care center,405 Society DR,Telluride,CO,81435,San Miguel,Telluride,-107.882079,37.946368,6/22/2016 0:00,6/22/2019 0:00,Level 2,15,2,2,10/31/2017 0:00,3,1,10/31/2017 0:00,3,1,20170930
4835,LITTLE VISIONS PRESCHOOL,Day care center,26845 County Road 92,Idalia,CO,80735,Yuma,Idalia-Joes,-102.293778,39.704388, , ,Level 1,15, , , , , , , , ,20170930
4845,KOHL STREET KIDS PRESCHOOL AND BASE PROGRAM,Day care center,825 Kohl ST,Broomfield,CO,80020,Broomfield,Broomfield,-105.082956,39.925907,2/3/2016 0:00,2/3/2019 0:00,Level 2,75, , ,8/31/2019 0:00,0,1,8/31/2019 0:00,0,1,20170930
4846,TAKE A BREAK,Day care center,408 W Baseline RD,Lafayette,CO,80026,Boulder,Lafayette-Louisville,-105.094598,40.000174,11/19/2015 0:00,11/19/2018 0:00,Level 2,153,26,17,2/29/2020 0:00,26,1,2/29/2020 0:00,27,1,20170930
4850,ST LUKE'S LITTLE SCHOOL,Preschool,8817 S Broadway,Highlands Ranch,CO,80129,Douglas,Sedalia,-104.991199,39.555701,4/13/2017 0:00,4/13/2020 0:00,Level 2,150, , , , , , , , ,20170930
4855,DRY CREEK EXTENDED DAY PROGRAM,School age child care,7686 E Hindsdale AVE,Englewood,CO,80112,Arapahoe,Southwest Arapahoe,-104.899603,39.581721, , , ,573, , ,12/31/2019 0:00,2,1,12/31/2019 0:00,6,1,20170930
4856,MISSION VIEJO (ECS),School age child care,6867 E Heritage PL S,Centennial,CO,80111,Arapahoe,Southwest Arapahoe,-104.910615,39.597055, , , ,150, , ,8/31/2018 0:00,1,1,8/31/2018 0:00,0,1,20170930
4857,WALNUT HILLS EXTENDED DAY PROGRAM,School age child care,8195 E Costilla BLVD,Centennial,CO,80112,Arapahoe,Southwest Arapahoe,-104.896211,39.590479, , , ,100,5,4,9/30/2019 0:00,5,1,9/30/2019 0:00,4,1,20170930
4887,MISS CATHERINES CREATIVE LEARNING CTR,Day care center,6525 Gunpark DR  340,Boulder,CO,80301,Boulder,Boulder,-105.201102,40.070746, , ,Level 4,100,10,10,5/31/2019 0:00,11,1,5/31/2019 0:00,6,1,20170930
4958,TAMMARA GOODMAN,Day care home,3538 Cascade CT,Broomfield,CO,80020,Broomfield,Broomfield,-105.031442,39.94006,1/19/2016 0:00,1/19/2019 0:00,Level 2,6, , , , , , , , ,20170930
5178,LISSA HETRICK,Day care home,3823 S Malta ST,Aurora,CO,80013,Arapahoe,South Aurora,-104.742626,39.646791,3/29/2016 0:00,3/29/2019 0:00,Level 2,6, , , , , , , , ,20170930
5358,TERESA WERNER,Large day care home,815 S 7TH ST,Montrose,CO,81401,Montrose,Montrose,-107.866361,38.477178,6/30/2017 0:00,6/30/2020 0:00,Level 4,12,13,8,1/31/2018 0:00,12,1,6/30/2018 0:00,14,1,20170930
5411,THE VILLAGE FOR EARLY CHILDHOOD EDUCATION,Day care center,1907 W Powers AVE,Littleton,CO,80120,Arapahoe,Southwest Arapahoe,-105.010696,39.616034, , ,Level 4,240, , ,5/31/2020 0:00,0,1,5/31/2020 0:00,3,1,20170930
5413,YUMA COUNTY HEAD START,Day care center,30204 CR 35,Wray,CO,80758,Yuma,Wray,-102.246643,40.07538, , ,Level 4,23, , , , , , , , ,20170930
5420,DPS DISCOVERY LINK @ CENTENNIAL,School age child care,4665 Raleigh ST,Denver,CO,80212,Denver,Denver,-105.042595,39.781298, , , ,100, , ,10/31/2019 0:00,1,1,10/31/2019 0:00,7,1,20170930
5422,DPS DISCOVERY LINK @ EDISON,School age child care,3350 Quitman ST,Denver,CO,80212,Denver,Denver,-105.039907,39.764871, , , ,100, , ,8/31/2019 0:00,1,1,8/31/2019 0:00,0,1,20170930
5424,TOTALLY KIDS AFTER SCHOOL PROGRAM,School age child care,3RD and Breeze Base,Hayden,CO,81639,Routt,Hayden,-107.263791,40.491702, , , ,50, , , , , , , , ,20170930
5430,ADVANTAGE LEARNING CENTER,Day care center,155 Van Gordon ST,Lakewood,CO,80228,Jefferson,Northeast Jefferson,-105.138238,39.716102, , ,Level 4,92, , , , , , , , ,20170930
5431,COMMUNITY MONTESSORI OF BOULDER VALLEY,Day care center,805 Gillaspie DR,Boulder,CO,80305,Boulder,Boulder,-105.252384,39.981062,2/1/2017 0:00,2/1/2020 0:00,Level 4,140, , ,6/30/2019 0:00,4,1,6/30/2019 0:00,4,1,20170930
5546,KIM PRESCHOOL,Preschool,425 State,Kim,CO,81049,Las Animas,Kim,-103.35333,37.24696, , ,Level 1,15, , , , , , , , ,20170930
5763,ROXANE MARSHALL-CRISWELL,Experienced Child Care Provider,2755 Edmanston WAY,Castle Rock,CO,80109,Douglas,Castle Rock,-104.910089,39.392221,8/25/2015 0:00,8/25/2018 0:00,Level 2,9, , , , , , , , ,20170930
5874,JEANNE MORGAN,Experienced Child Care Provider,8212 Ammons CIR,Arvada,CO,80005,Jefferson,Northeast Jefferson,-105.087507,39.845853, , ,Level 1,8, , , , , , , , ,20170930
5880,SHEA GRAFF,Large day care home,121 Eldridge ST,Burlington,CO,80807,Kit Carson,Burlington,-102.28671,39.301727,2/21/2017 0:00,2/21/2020 0:00,Level 2,12, , , , , , , , ,20170930
5949,PRAIRIE PRESCHOOL,Preschool,42315 Weld County Road 133,New Raymer,CO,80742,Weld,Raymer,-103.80181,40.613645, , ,Level 1,15, , , , , , , , ,20170930
6006,BVSD COMMUNITY MONTESSORI SAC,School age child care,805 Gillaspie DR,Boulder,CO,80305,Boulder,Boulder,-105.252384,39.981062, , , ,50, , ,7/31/2017 0:00,1,1,8/31/2019 0:00,3,1,20170930
6007,WIDEFIELD PARKS AND RECREATION EARLY CHILDHOO,Preschool,705 Aspen DR,Colorado Springs,CO,80911,El Paso,Fountain,-104.730332,38.752168, , ,Level 1,52, , , , , , , , ,20170930
6033,ELIZABETH RUIZ-PARR,Day care home,9365 W 73rd PL,Arvada,CO,80005,Jefferson,Northeast Jefferson,-105.102664,39.83007, , ,Level 1,6, , , , , , , , ,20170930
6356,LITTLE INDIANS PRESCHOOL,Preschool,709 W 3rd AVE,Yuma,CO,80759,Yuma,Yuma,-102.732097,40.123354, , ,Level 1,45, , , , , , , , ,20170930
6405,AMY STOCKTON,Experienced Child Care Provider,3107 Conestoga CT,Fort Collins,CO,80526,Larimer,Fort Collins,-105.095683,40.545696,2/27/2017 0:00,2/27/2020 0:00,Level 2,9, , , , , , , , ,20170930
6427,NANETTE MILLAGE,Experienced Child Care Provider,2926 Mt Royal CT,Fort Collins,CO,80526,Larimer,Fort Collins,-105.131476,40.553351, , ,Level 1,9, , , , , , , , ,20170930
6437,CATHOLIC CHARITIES ECE AT CDC,Day care center,1155 Decatur ST,Denver,CO,80204,Denver,Denver,-105.02259,39.73517, , ,Level 4,123,40,27,10/31/2019 0:00,65,1,10/31/2019 0:00,63,1,20170930
6443,DONNA WELBORN,Day care home,322 W Orman AVE,Pueblo,CO,81004,Pueblo,Pueblo,-104.631038,38.257099, , ,Level 1,6, , , , , , , , ,20170930
6565,SUMMIT PALS PRESCHOOL,Day care center,490 Meadow Park DR,Divide,CO,80814,Teller,Divide,-105.145772,38.957014,1/31/2017 0:00,1/31/2020 0:00,Level 4,40, , ,12/31/2017 0:00,2,1,12/31/2017 0:00,4,1,20170930
6681,JOYCE ESPINOZA,Experienced Child Care Provider,12270 Locust ST,Brighton,CO,80602,Adams,West Adams,-104.912659,39.918856, , ,Level 1,9, , , , , , , , ,20170930
6722,PATSY FELDER,Day care home,3154 High ST,Denver,CO,80205,Denver,Denver,-104.964379,39.761743, , ,Level 2,6,10,7,6/30/2019 0:00,15,1,6/30/2019 0:00,11,1,20170930
6803,CYNTHIA GOLDSWORTHY,Day care home,2506 Clark ST,Alamosa,CO,81101,Alamosa,Alamosa,-105.890053,37.480155, , ,Level 1,6, , , , , , , , ,20170930
6804,PRISCILLA SORENCY,Day care home,5281 Water Dipper,Colorado Springs,CO,80911,El Paso,Fountain,-104.729402,38.76683, , ,Level 1,6, , , , , , , , ,20170930
7019,PINE GROVE ELEMENTARY BEFORE AND AFTER,School age child care,10450 Stonegate PKWY,Parker,CO,80134,Douglas,Parker,-104.806794,39.527701, , , ,100, , ,6/30/2018 0:00,0,1,6/30/2018 0:00,0,1,20170930
7075,CHANDRA HANDELAND,Experienced Child Care Provider,360 Lincoln,Canon City,CO,81212,Fremont,Cañon City,-105.18558,38.437262,10/22/2015 0:00,10/22/2018 0:00,Level 2,9, , , , , , , , ,20170930
7199,REBA HERMANN,Day Care Home 3,118 Emerald ST,Broomfield,CO,80020,Broomfield,Broomfield,-105.076971,39.916722,1/22/2016 0:00,1/22/2019 0:00,Level 2,6, , , , , , , , ,20170930
7292,HUTCHINSON BEFORE AND AFTER SCHOOL,School age child care,12900 W Utah AVE,Lakewood,CO,80228,Jefferson,Northeast Jefferson,-105.145569,39.681534, , , ,70, , ,10/31/2019 0:00,2,1,10/31/2019 0:00,1,1,20170930
